batch_id,pair_id,repeat_id,user_profile,room_id,room_type,member_count,crypto_mode,room_creation_ms,add_members_ms,session_setup_ms,message_encrypt_ms,message_encrypt_pure_ms,message_decrypt_ms,total_setup_ms,setup_time_ms,rotation_time_ms,encrypt_steady_state_ms,device_type,architecture,cpu_cores,cpu_freq_mhz,rotation_policy,actual_rotations,kem_handshake_bytes,olm_session_bytes,megolm_session_bytes,message_overhead_bytes,total_bandwidth_bytes,num_ratchet_advances,num_asymmetric_advances,num_rotation_messages,bandwidth_agreement,bandwidth_agreement_classical,bandwidth_agreement_pqc,bandwidth_initial_distribution,bandwidth_initial_distribution_classical,bandwidth_initial_distribution_pqc,bandwidth_rotation,bandwidth_rotation_classical,bandwidth_rotation_pqc,bandwidth_megolm_messages,bandwidth_control_plane,bandwidth_data_plane,bandwidth_agreement_primitives_identity_keys,bandwidth_agreement_primitives_otk,bandwidth_agreement_primitives_kyber1024,bandwidth_agreement_primitives_prekey_overhead,bandwidth_initial_distribution_primitives_megolm_key,bandwidth_initial_distribution_primitives_ratchet_key,bandwidth_initial_distribution_primitives_kem_ct,bandwidth_initial_distribution_primitives_olm_overhead,bandwidth_rotation_primitives_megolm_key,bandwidth_rotation_primitives_ratchet_key,bandwidth_rotation_primitives_kem_ct,bandwidth_rotation_primitives_olm_overhead
20260201_124053,pair_1,0,@alice:matrix.org,!dm_2:matrix.org,DM,2,Classical,0.00035400000000000004,0.063729,0.43935799999999997,0.233102962,0.218948972,0.117223678,0.5034409999999999,0.43935799999999997,2.4456929999999995,0.218948972,Desktop,x86_64,8,664,Paranoid,20,96,664,13280,22927964,45884008,0,0,20,110,110,0,664,664,0,13280,13280,0,22927964,14040,22927964,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_1,0,@alice:matrix.org,!dm_3:matrix.org,DM,2,Classical,0.00033299999999999996,0.067551,0.429139,0.232671782,0.218996176,0.11793145,0.497023,0.429139,2.4461980000000008,0.218996176,Desktop,x86_64,8,399,Paranoid,20,96,664,13280,22927964,45884008,0,0,20,110,110,0,664,664,0,13280,13280,0,22927964,14040,22927964,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_1,0,@alice:matrix.org,!dm_4:matrix.org,DM,2,Classical,0.000335,0.070246,0.441456,0.227329888,0.218417248,0.117477544,0.5120370000000001,0.441456,2.2902770000000006,0.218417248,Desktop,x86_64,8,608,Paranoid,20,96,664,13280,22927964,45884008,0,0,20,110,110,0,664,664,0,13280,13280,0,22927964,14040,22927964,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_1,0,@alice:matrix.org,!dm_5:matrix.org,DM,2,Classical,0.00031600000000000004,0.069821,0.440052,0.225580268,0.216861298,0.116869902,0.510189,0.440052,2.3342739999999997,0.216861298,Desktop,x86_64,8,665,Paranoid,20,96,664,13280,22927964,45884008,0,0,20,110,110,0,664,664,0,13280,13280,0,22927964,14040,22927964,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_1,0,@alice:matrix.org,!small_1:matrix.org,SmallGroup,7,Classical,0.000345,0.216387,2.2780299999999998,0.2516066533333333,0.23149423866666666,0.12466636800000001,2.4947619999999997,2.2780299999999998,14.205305999999995,0.23149423866666666,Desktop,x86_64,8,594,Paranoid,30,576,3984,119520,37232564,74713288,0,0,180,662,662,0,3984,3984,0,119520,119520,0,37232564,124080,37232564,384,192,0,86,1848,0,0,0,55440,0,0,0
20260201_124053,pair_1,0,@alice:matrix.org,!small_2:matrix.org,SmallGroup,7,Classical,0.00033299999999999996,0.218641,2.221822,0.2524865613333333,0.23268842933333334,0.12418590533333332,2.4407959999999997,2.221822,14.381321999999995,0.23268842933333334,Desktop,x86_64,8,1777,Paranoid,30,576,3984,119520,37232564,74713288,0,0,180,662,662,0,3984,3984,0,119520,119520,0,37232564,124080,37232564,384,192,0,86,1848,0,0,0,55440,0,0,0
20260201_124053,pair_1,0,@alice:matrix.org,!small_3:matrix.org,SmallGroup,7,Classical,0.000351,0.22631600000000002,2.221363,0.2523555333333333,0.23312682133333332,0.12462960266666669,2.44803,2.221363,14.209494999999992,0.23312682133333332,Desktop,x86_64,8,400,Paranoid,30,576,3984,119520,37232564,74713288,0,0,180,662,662,0,3984,3984,0,119520,119520,0,37232564,124080,37232564,384,192,0,86,1848,0,0,0,55440,0,0,0
20260201_124053,pair_1,0,@alice:matrix.org,!medium_1:matrix.org,MediumGroup,25,Classical,0.000311,0.771834,8.875005999999999,1.189257965,1.100174323,0.500058175,9.647151,8.875005999999999,74.54140100000004,1.100174323,Desktop,x86_64,8,2105,Paranoid,40,2304,15936,637440,243130816,487572992,0,0,960,2649,2649,0,15936,15936,0,637440,637440,0,243130816,655680,243130816,1536,768,0,345,7392,0,0,0,295680,0,0,0
20260201_124053,pair_1,0,@alice:matrix.org,!medium_2:matrix.org,MediumGroup,25,Classical,0.00032300000000000004,0.76891,8.939682,1.1864492199999999,1.2239885209999999,0.501777178,9.708915,8.939682,75.58957600000001,1.2239885209999999,Desktop,x86_64,8,400,Paranoid,40,2304,15936,637440,243130816,487572992,0,0,960,2649,2649,0,15936,15936,0,637440,637440,0,243130816,655680,243130816,1536,768,0,345,7392,0,0,0,295680,0,0,0
20260201_124053,pair_1,0,@alice:matrix.org,!large:matrix.org,LargeChannel,150,Classical,0.000399,4.6525810000000005,56.450027999999996,2.002273996,1.7812944496,0.8506946736,61.103007999999996,56.450027999999996,576.892553000001,1.7812944496,Desktop,x86_64,8,583,Paranoid,50,14304,98936,4946800,430506492,871133064,0,0,7450,16449,16449,0,98936,98936,0,4946800,4946800,0,430506492,5060040,430506492,9536,4768,0,2145,45892,0,0,0,2294600,0,0,0
20260201_124053,pair_2,0,@alice:matrix.org,!dm_1:matrix.org,DM,2,Classical,0.000447,0.0667,0.44017,0.207436724,0.201586548,0.110681212,0.507317,0.44017,2.494736,0.201586548,Desktop,x86_64,8,1311,Paranoid,20,96,664,13280,19806388,39640856,0,0,20,110,110,0,664,664,0,13280,13280,0,19806388,14040,19806388,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_2,0,@alice:matrix.org,!dm_2:matrix.org,DM,2,Classical,0.000372,0.065645,0.45236499999999996,0.205169936,0.197650808,0.10970757,0.5183819999999999,0.45236499999999996,2.349853,0.197650808,Desktop,x86_64,8,958,Paranoid,20,96,664,13280,19806388,39640856,0,0,20,110,110,0,664,664,0,13280,13280,0,19806388,14040,19806388,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_2,0,@alice:matrix.org,!dm_3:matrix.org,DM,2,Classical,0.000337,0.071025,0.44400100000000003,0.20641066,0.198362782,0.11041222,0.515363,0.44400100000000003,2.4122250000000003,0.198362782,Desktop,x86_64,8,1948,Paranoid,20,96,664,13280,19806388,39640856,0,0,20,110,110,0,664,664,0,13280,13280,0,19806388,14040,19806388,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_2,0,@alice:matrix.org,!dm_4:matrix.org,DM,2,Classical,0.00033299999999999996,0.072207,0.46563000000000004,0.20698747,0.1978053,0.109976476,0.53817,0.46563000000000004,2.422085,0.1978053,Desktop,x86_64,8,812,Paranoid,20,96,664,13280,19806388,39640856,0,0,20,110,110,0,664,664,0,13280,13280,0,19806388,14040,19806388,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_2,0,@alice:matrix.org,!dm_5:matrix.org,DM,2,Classical,0.00035800000000000003,0.074195,0.460812,0.206519844,0.197207852,0.109240896,0.535365,0.460812,2.342241,0.197207852,Desktop,x86_64,8,1708,Paranoid,20,96,664,13280,19806388,39640856,0,0,20,110,110,0,664,664,0,13280,13280,0,19806388,14040,19806388,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_2,0,@alice:matrix.org,!small_1:matrix.org,SmallGroup,7,Classical,0.00039999999999999996,0.22096,2.3583990000000004,0.22559814133333336,0.207223656,0.11494399466666666,2.579759,2.3583990000000004,14.87725300000001,0.207223656,Desktop,x86_64,8,669,Paranoid,30,576,3984,119520,31235336,62718832,0,0,180,662,662,0,3984,3984,0,119520,119520,0,31235336,124080,31235336,384,192,0,86,1848,0,0,0,55440,0,0,0
20260201_124053,pair_2,0,@alice:matrix.org,!small_2:matrix.org,SmallGroup,7,Classical,0.000455,0.229726,2.3548839999999998,0.22528326933333334,0.20598000533333333,0.113054688,2.5850649999999997,2.3548839999999998,14.924309999999997,0.20598000533333333,Desktop,x86_64,8,1153,Paranoid,30,576,3984,119520,31235336,62718832,0,0,180,662,662,0,3984,3984,0,119520,119520,0,31235336,124080,31235336,384,192,0,86,1848,0,0,0,55440,0,0,0
